Animal,Indice de seleção
271210,16.1135159980122
278320,
278685,-13.3852324031621
298393,-8.24553750166648
387586,-0.0929017764573331
402939,-1.94406356409753
419728,11.6644235643992
430395,3.88890926676057
442798,-7.61190046799676
444632,6.62844212501002
448918,5.33267565404517
450466,
452110,-8.03272691838669
455464,10.9212271467776
483845,-8.51909119403105
484649,-0.836061166395249
493291,1.15335921208777
496079,6.09018351709019
512117,1.46949289228866
513931,
524590,2.771660576954
525527,-3.20174512918205
532230,-8.63150138764618
539369,4.23828252754107
540711,-11.079628304978
541499,-4.92379091545373
546521,-1.2549313860201
547523,2.48333479377594
548967,-9.97819834812863
552471,3.15111340542788
555589,11.1835092726586
558684,7.75504602732331
560067,-0.949616459955637
563398,-4.42656675921646
566986,8.79997948314151
567786,-6.95646253993726
567954,0.0767434108307004
576404,6.15499816054731
576832,6.8551187656699
579142,-1.70551498516348
580668,-3.77792550195232
636318,-7.3773225335267
636591,2.03036372314528
711575,-0.828228145674982
714381,-7.74182417316074
743857,4.84305491569711
756158,-8.32895801072391
1268414,
1275194,-4.76666213004092
1286808,3.59356396230803
1482055,-0.731437292246001
1486487,0.754710650820731
1493668,11.7015941160166
1495051,-6.05446016491632
1498128,4.90102963069779
1498203,
1498488,5.25583374489092
1501034,0.152076203693314
1581285,4.30237619876962
1587279,5.39843209440276
1588690,5.68682792921641
1594992,
1598543,7.93218863111862
1599632,
1602645,-7.53670964620892
1611887,-3.90392923871329
1616445,-3.66952654889347
1626386,7.22440850687561
1628489,13.8890997143779
1632209,5.82019686724927
1633956,10.5767287154663
1636000,5.02585434905213
1637619,-14.1522322361088
1651850,-12.6681411822757
1652625,
1655061,-8.11837530753831
1656233,-5.74996490951119
1672109,
1676209,7.45890409552793
1676394,2.3767699768005
1680237,19.740488022199
1687566,-3.98064315259715
1693629,3.33333593933561
1701883,
1711467,6.48646685134664
1722011,
1732364,20.3258226774598
1732366,4.79894297914178
1745133,7.9187220199681
1760854,
1764351,1.46871710812687
1772900,4.09218662206426
1783603,1.51788047034939
1854367,
1869165,7.33608555910331
1870693,6.08933547187208
1870712,-5.33401821286666
1877331,-0.965903260787843
1877337,
1885974,-4.3073748378968
1885994,16.2356515771095
1888252,6.02930167703822
1890225,25.6617303655541
1908724,3.89035427602529
1920043,
1929782,2.024167625121
1929991,
1934163,
1935048,33.6745867396815
1941345,6.35156139137538
1942636,18.1847753902462
1943204,1.28994502946919
1949952,5.47826220730819
1951359,11.2319623054347
1952359,11.4821144266624
1958445,-5.62966507494914
1965701,
1972619,
1977269,
1978212,11.6892083816023
1978234,
1981322,7.77359328875449
1985664,6.37809162599881
1988028,22.2181671591158
1988312,18.3937676291265
2376652,11.2383057526103
2410572,
2413643,
2414149,10.1782397820676
2416839,
2417740,8.30962012073057
2421268,-4.90510533293111
2421668,14.9605289614374
2425486,21.0502783453427
3231675,
3257504,9.11758232068604
3276210,-15.7791286660569
3278306,10.7198977018915
3291319,12.8719246809746
3296944,
3317380,-0.214107148977234
3319151,16.8456758801652
3343177,6.11332119321924
3346788,6.27810495217929
3360387,20.4480646863329
3387583,5.79100643496774
3432944,
3435170,
3451580,19.72042003702
3458061,11.0825079406559
3458073,13.8502964534588
3778942,10.9954052371228
3949837,
3954262,
3959713,
3959733,
3960021,
3962654,
3966596,29.4923682053485
3984383,
3996569,
4005970,
4008947,6.35743199865571
4008966,
4010676,
4015598,22.7567878389058
4016526,
4018407,
4018411,
4021179,
4022626,
4023278,
4028413,
4039594,
4039667,
4039896,
4043051,
4043228,
4043238,
4043286,
4043436,
4043450,
4043480,
4043532,
4045239,
4047103,13.4720423571314
4050215,
4050718,
4050725,
4052345,
